id,voter_id,candidate_id,position_id,election_id,created_at,updated_at
1,76,2,2,1,2026-05-22 02:42:15,2026-05-22 02:42:15
2,76,4,3,1,2026-05-22 02:42:15,2026-05-22 02:42:15
3,76,20,7,1,2026-05-22 02:42:15,2026-05-22 02:42:15
102,1,1,1,1,2026-05-22 04:52:11,2026-05-22 04:52:11
103,1,3,2,1,2026-05-22 04:52:11,2026-05-22 04:52:11
104,1,7,6,1,2026-05-22 04:52:11,2026-05-22 04:52:11
114,226,2,2,1,2026-05-22 04:54:56,2026-05-22 04:54:56
115,226,4,3,1,2026-05-22 04:54:56,2026-05-22 04:54:56
121,228,1,1,1,2026-05-22 04:56:22,2026-05-22 04:56:22
122,228,2,2,1,2026-05-22 04:56:22,2026-05-22 04:56:22
123,228,4,3,1,2026-05-22 04:56:22,2026-05-22 04:56:22
124,228,5,4,1,2026-05-22 04:56:22,2026-05-22 04:56:22
125,228,6,5,1,2026-05-22 04:56:22,2026-05-22 04:56:22
126,228,15,6,1,2026-05-22 04:56:22,2026-05-22 04:56:22
127,228,24,9,1,2026-05-22 04:56:22,2026-05-22 04:56:22
128,228,87,11,1,2026-05-22 04:56:22,2026-05-22 04:56:22
129,228,88,12,1,2026-05-22 04:56:22,2026-05-22 04:56:22
130,228,89,13,1,2026-05-22 04:56:22,2026-05-22 04:56:22
131,228,90,14,1,2026-05-22 04:56:22,2026-05-22 04:56:22
132,228,91,15,1,2026-05-22 04:56:22,2026-05-22 04:56:22
133,228,97,16,1,2026-05-22 04:56:22,2026-05-22 04:56:22
148,234,2,2,1,2026-05-22 05:02:08,2026-05-22 05:02:08
149,234,8,6,1,2026-05-22 05:02:08,2026-05-22 05:02:08
150,234,106,16,1,2026-05-22 05:02:08,2026-05-22 05:02:08
163,235,2,2,1,2026-05-22 05:03:44,2026-05-22 05:03:44
202,160,1,1,1,2026-05-22 05:10:57,2026-05-22 05:10:57
203,160,2,2,1,2026-05-22 05:10:57,2026-05-22 05:10:57
204,160,4,3,1,2026-05-22 05:10:57,2026-05-22 05:10:57
205,160,5,4,1,2026-05-22 05:10:57,2026-05-22 05:10:57
206,160,6,5,1,2026-05-22 05:10:57,2026-05-22 05:10:57
207,160,11,6,1,2026-05-22 05:10:57,2026-05-22 05:10:57
208,160,25,10,1,2026-05-22 05:10:57,2026-05-22 05:10:57
209,160,76,11,1,2026-05-22 05:10:57,2026-05-22 05:10:57
210,160,77,12,1,2026-05-22 05:10:57,2026-05-22 05:10:57
211,160,78,13,1,2026-05-22 05:10:57,2026-05-22 05:10:57
212,160,79,14,1,2026-05-22 05:10:57,2026-05-22 05:10:57
213,160,80,15,1,2026-05-22 05:10:57,2026-05-22 05:10:57
214,160,82,16,1,2026-05-22 05:10:57,2026-05-22 05:10:57
